feature,importance
ratio_type_0,0.297181374699702
ratio_ds_0x00000001,0.09205471001904166
ratio_type_1,0.08360646317403961
ratio_ds_0x00000002,0.08084907754750799
ratio_retry,0.07335013039245711
ratio_protected,0.07089786883054916
ratio_tcp_present,0.06014946975943237
ratio_type_2,0.059647707819929154
ratio_ds_0x00000000,0.05794633413096578
ratio_ip_present,0.05129903355131957
ratio_llc_present,0.05040686600785024
ratio_pwrmgt,0.013473056220686857
ratio_moredata,0.008281688782454171
ratio_order,0.0005532084305614906
ratio_frag,0.000245661190896583
ratio_ds_0x00000003,5.7349442606249e-05
n_frames,0.0
