model,test_file,val_file,policy,test_windows,test_positive_windows,threshold,precision,recall,f1,fpr,auroc,pr_auc,tn,fp,fn,tp
rf_per_bssid,RogueAP_23.csv,RogueAP_39.csv,best_f1,1000,1,0.5708911996878593,0.022222222222222223,1.0,0.043478260869565216,0.044044044044044044,0.98998998998999,0.09090909090909091,955,44,0,1
rf_per_bssid,RogueAP_23.csv,RogueAP_39.csv,fpr_le_0.20,1000,1,0.5285118043634929,0.016666666666666666,1.0,0.03278688524590164,0.05905905905905906,0.98998998998999,0.09090909090909091,940,59,0,1
rf_per_bssid,RogueAP_23.csv,RogueAP_39.csv,fpr_le_0.30,1000,1,0.5285118043634929,0.016666666666666666,1.0,0.03278688524590164,0.05905905905905906,0.98998998998999,0.09090909090909091,940,59,0,1
xgb_per_bssid,RogueAP_23.csv,RogueAP_39.csv,best_f1,1000,1,0.7168038153648392,0.01818181818181818,1.0,0.03571428571428571,0.05405405405405406,0.994994994994995,0.16666666666666666,945,54,0,1
xgb_per_bssid,RogueAP_23.csv,RogueAP_39.csv,fpr_le_0.20,1000,1,0.8451410531997681,0.037037037037037035,1.0,0.07142857142857142,0.026026026026026026,0.994994994994995,0.16666666666666666,973,26,0,1
xgb_per_bssid,RogueAP_23.csv,RogueAP_39.csv,fpr_le_0.30,1000,1,0.8451410531997681,0.037037037037037035,1.0,0.07142857142857142,0.026026026026026026,0.994994994994995,0.16666666666666666,973,26,0,1
rf_per_bssid,RogueAP_24.csv,RogueAP_39.csv,best_f1,1001,28,0.47337001506366105,0.11711711711711711,0.9285714285714286,0.208,0.2014388489208633,0.9062545881662016,0.13928777042284365,777,196,2,26
rf_per_bssid,RogueAP_24.csv,RogueAP_39.csv,fpr_le_0.20,1001,28,0.4271690281126119,0.11555555555555555,0.9285714285714286,0.20553359683794467,0.20452209660842754,0.9062545881662016,0.13928777042284365,774,199,2,26
rf_per_bssid,RogueAP_24.csv,RogueAP_39.csv,fpr_le_0.30,1001,28,0.4271690281126119,0.11555555555555555,0.9285714285714286,0.20553359683794467,0.20452209660842754,0.9062545881662016,0.13928777042284365,774,199,2,26
xgb_per_bssid,RogueAP_24.csv,RogueAP_39.csv,best_f1,1001,28,0.790044877529145,0.17687074829931973,0.9285714285714286,0.29714285714285715,0.12435765673175746,0.9347746292761709,0.19002755670428542,852,121,2,26
xgb_per_bssid,RogueAP_24.csv,RogueAP_39.csv,fpr_le_0.20,1001,28,0.8498807549476624,0.21008403361344538,0.8928571428571429,0.3401360544217687,0.09660842754367935,0.9347746292761709,0.19002755670428542,879,94,3,25
xgb_per_bssid,RogueAP_24.csv,RogueAP_39.csv,fpr_le_0.30,1001,28,0.8498807549476624,0.21008403361344538,0.8928571428571429,0.3401360544217687,0.09660842754367935,0.9347746292761709,0.19002755670428542,879,94,3,25
rf_per_bssid,RogueAP_25.csv,RogueAP_39.csv,best_f1,1001,83,0.49399625487166043,0.4819277108433735,0.963855421686747,0.642570281124498,0.09368191721132897,0.9645641389085755,0.65171311517356,832,86,3,80
rf_per_bssid,RogueAP_25.csv,RogueAP_39.csv,fpr_le_0.20,1001,83,0.44521106713858233,0.4682080924855491,0.9759036144578314,0.6328125,0.10021786492374728,0.9645641389085755,0.65171311517356,826,92,2,81
rf_per_bssid,RogueAP_25.csv,RogueAP_39.csv,fpr_le_0.30,1001,83,0.44521106713858233,0.4682080924855491,0.9759036144578314,0.6328125,0.10021786492374728,0.9645641389085755,0.65171311517356,826,92,2,81
xgb_per_bssid,RogueAP_25.csv,RogueAP_39.csv,best_f1,1001,83,0.6697366714477556,0.5157232704402516,0.9879518072289156,0.6776859504132231,0.08387799564270153,0.9704898023466415,0.7387232330969737,841,77,1,82
xgb_per_bssid,RogueAP_25.csv,RogueAP_39.csv,fpr_le_0.20,1001,83,0.8137210011482239,0.5302013422818792,0.9518072289156626,0.6810344827586207,0.07625272331154684,0.9704898023466415,0.7387232330969737,848,70,4,79
xgb_per_bssid,RogueAP_25.csv,RogueAP_39.csv,fpr_le_0.30,1001,83,0.8137210011482239,0.5302013422818792,0.9518072289156626,0.6810344827586207,0.07625272331154684,0.9704898023466415,0.7387232330969737,848,70,4,79
rf_per_bssid,RogueAP_26.csv,RogueAP_39.csv,best_f1,1000,79,0.549065146577064,0.5302013422818792,1.0,0.6929824561403509,0.07600434310532031,0.9794252257452686,0.7443459315820888,851,70,0,79
rf_per_bssid,RogueAP_26.csv,RogueAP_39.csv,fpr_le_0.20,1000,79,0.5052086480501936,0.5266666666666666,1.0,0.6899563318777293,0.07709011943539631,0.9794252257452686,0.7443459315820888,850,71,0,79
rf_per_bssid,RogueAP_26.csv,RogueAP_39.csv,fpr_le_0.30,1000,79,0.5052086480501936,0.5266666666666666,1.0,0.6899563318777293,0.07709011943539631,0.9794252257452686,0.7443459315820888,850,71,0,79
xgb_per_bssid,RogueAP_26.csv,RogueAP_39.csv,best_f1,1000,79,0.7512175631523141,0.5642857142857143,1.0,0.7214611872146118,0.06623235613463627,0.9815692903970642,0.7961142144038882,860,61,0,79
xgb_per_bssid,RogueAP_26.csv,RogueAP_39.csv,fpr_le_0.20,1000,79,0.8236987590789795,0.572463768115942,1.0,0.728110599078341,0.06406080347448426,0.9815692903970642,0.7961142144038882,862,59,0,79
xgb_per_bssid,RogueAP_26.csv,RogueAP_39.csv,fpr_le_0.30,1000,79,0.8236987590789795,0.572463768115942,1.0,0.728110599078341,0.06406080347448426,0.9815692903970642,0.7961142144038882,862,59,0,79
rf_per_bssid,RogueAP_27.csv,RogueAP_39.csv,best_f1,997,70,0.5099432136938504,0.4806201550387597,0.8857142857142857,0.6231155778894473,0.07227615965480043,0.9685775928494376,0.6549491504076286,860,67,8,62
