attack_category,tp,fp,tn,fn,precision,recall,f1,fpr,support
Normal,32349,8077,37255,4651,0.8002028397565923,0.8742972972972973,0.8356107767416631,0.17817435806935497,37000
Generic,18451,4651,32349,420,0.7986754393558999,0.9777436277886704,0.8791842374860028,0.1257027027027027,18871
Exploits,8637,4651,32349,2495,0.6499849488260084,0.7758713618397413,0.7073710073710073,0.1257027027027027,11132
Fuzzers,2681,4651,32349,3381,0.3656573922531369,0.44226327944572746,0.400328505300881,0.1257027027027027,6062
DoS,3439,4651,32349,650,0.4250927070457355,0.8410369283443385,0.5647425897035881,0.1257027027027027,4089
Reconnaissance,2865,4651,32349,631,0.3811868014901543,0.8195080091533181,0.5203414456956047,0.1257027027027027,3496
Backdoor,384,4651,32349,199,0.076266137040715,0.6586620926243568,0.13670345318618726,0.1257027027027027,583
Analysis,476,4651,32349,201,0.0928418178271894,0.7031019202363368,0.16402481047553413,0.1257027027027027,677
Shellcode,283,4651,32349,95,0.05735711390352655,0.7486772486772487,0.1065512048192771,0.1257027027027027,378
Worms,39,4651,32349,5,0.008315565031982943,0.8863636363636364,0.016476552598225603,0.1257027027027027,44
OVERALL,37255,4651,32349,8077,0.8890135064191286,0.821825641930645,0.8541002774020495,0.1257027027027027,82332
